City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
319,Tuatapere,NZ,-46.1333,167.6833,72.82,66,28,4.23,scattered clouds
320,Makokou,GA,0.5738,12.8642,72.73,67,99,2.82,overcast clouds
321,Maningrida,AU,-12.0667,134.2667,79.97,86,100,13.73,overcast clouds
322,Livramento,BR,-3.0254,-60.1803,77.67,94,75,4.61,broken clouds
323,Uvira,CD,-3.4067,29.1458,71.11,97,100,1.66,heavy intensity rain
324,Rafai,CF,4.95,23.9167,68.79,33,86,3.56,overcast clouds
325,Tibiao,PH,11.2915,122.0354,79.36,77,55,4.27,broken clouds
326,Alyangula,AU,-13.8483,136.4192,83.16,74,100,19.73,overcast clouds
327,Sumter,US,28.7086,-82.0831,55.42,34,0,8.34,clear sky
328,Bodden Town,KY,19.2833,-81.25,69.01,60,40,5.99,scattered clouds
329,Jamundi,CO,3.2607,-76.535,78.76,86,100,2.68,overcast clouds
330,Ratnagiri,IN,16.9833,73.3,69.87,61,0,4.41,clear sky
331,Lakes Entrance,AU,-37.8811,147.981,80.58,79,56,2.33,broken clouds
332,Ayr,GB,55.4627,-4.6339,43.32,75,75,31.07,broken clouds
333,Libertad,PH,8.9442,125.5019,73.4,91,71,3.04,broken clouds
334,Sinaloa,MX,25.0,-107.5,82.11,39,37,4.0,scattered clouds
335,Faanui,PF,-16.4833,-151.75,80.83,72,15,10.51,few clouds
336,Kidal,ML,18.4411,1.4078,69.06,14,69,11.23,broken clouds
337,Ancud,CL,-41.8697,-73.8203,60.33,59,35,10.94,scattered clouds
338,Kapit,MY,2.0167,112.9333,72.48,99,100,0.65,overcast clouds
339,Filadelfia,US,39.9523,-75.1638,24.48,60,0,3.44,clear sky
340,Xinmin,CN,41.9908,122.8253,7.05,43,81,5.61,broken clouds
341,Tucurui,BR,-3.7661,-49.6725,75.56,86,99,0.92,overcast clouds
342,Casteldaccia,IT,38.0526,13.5287,55.36,74,1,7.0,clear sky
343,Adamovka,RU,51.5223,59.9396,25.34,95,100,14.05,light snow
